SpecName,AverageFruitLength_cm,armature,armature_leaf,armature_stem,Fruit_size_binary
Calamus_didymocarpus,1.02,1,1,0,0
Calamus_diepenhorstii,2,1,1,0,0
Calamus_digitatus,1,1,1,0,0
Calamus_dilaceratus,1,1,1,0,0
Calamus_dimorphacanthus,0.6,1,1,0,0
Calamus_dioicus,0.8,1,1,0,0
Calamus_discolor,NA,1,1,0,NA
Calamus_distentus,NA,1,1,0,NA
Calamus_divaricatus,1.5,1,1,0,0
Calamus_dongnaiensis,3,1,1,0,0
Calamus_dransfieldii,1.8,1,1,0,0
Calamus_egregius,2,1,1,0,0
Calamus_elmerianus,NA,1,1,0,NA
Calamus_elopurensis,NA,1,1,0,NA
Calamus_endauensis,NA,1,1,0,NA
Calamus_epetiolaris,NA,1,1,0,NA
Calamus_equestris,NA,1,1,0,NA
Calamus_erectus,5,1,1,0,1
Calamus_erinaceus,1,1,1,0,0
Calamus_erioacanthus,1.7,1,1,0,0
Calamus_essigii,0.95,1,1,0,0
Calamus_evansii,NA,1,1,0,NA
Calamus_exilis,1.6,1,1,0,0
Calamus_eximius,NA,1,1,0,NA
Calamus_faberi,NA,1,1,0,NA
Calamus_farinosus,NA,1,1,0,NA
Calamus_fertilis,1.48,1,1,0,0
Calamus_filipendulus,1.4,1,1,0,0
Calamus_filispadix,1.15,1,1,0,0
Calamus_fimbriatus,NA,1,1,0,NA
Calamus_fissijugatus,NA,1,1,0,NA
Calamus_flabellatus,1.1,1,1,0,0
Calamus_flagellum,3,1,1,0,0
Calamus_floribundus,1.2,1,1,0,0
Calamus_formosanus,2,1,1,0,0
Calamus_foxworthyi,NA,1,1,0,NA
Calamus_fuscus,NA,1,1,0,NA
Calamus_gamblei,2,1,1,0,0
Calamus_gibbsianus,1.6,1,1,0,0
Calamus_godefroyi,1.6,1,1,0,0
Calamus_gogolensis,NA,1,1,0,NA
Calamus_gonospermus,2,1,1,0,0
Calamus_gracilis,2.7,1,1,0,0
Calamus_graminosus,NA,1,1,0,NA
Calamus_grandifolius,NA,1,1,0,NA
Calamus_gregisectus,NA,1,1,0,NA
Calamus_griseus,0.7,1,1,0,0
Calamus_guruba,0.8,1,1,0,0
Calamus_hainanensis,NA,1,1,0,NA
Calamus_halmaherensis,NA,1,1,0,NA
Calamus_harmandii,1.2,1,1,0,0
Calamus_hartmannii,NA,1,1,0,NA
Calamus_henryanus,1.5,1,1,0,0
Calamus_hepburnii,NA,1,1,0,NA
Calamus_heteracanthus,NA,1,1,0,NA
Calamus_heteroideus,0.94,1,1,0,0
Calamus_hispidulus,2,1,1,0,0
Calamus_holttumii,1,1,1,0,0
Calamus_hookerianus,1,1,1,0,0
Calamus_hukaungensis,NA,1,1,0,NA
Calamus_humboldtianus,NA,1,1,1,NA
Calamus_hypertrichosus,NA,1,1,0,NA
Calamus_hypoleucus,NA,1,1,0,NA
Calamus_impar,NA,1,1,0,NA
Calamus_inops,NA,1,1,0,NA
Calamus_insignis,1.1,1,1,0,0
Calamus_interruptus,NA,1,1,0,NA
Calamus_javensis,1.35,1,1,0,0
Calamus_jenningsianus,2,1,1,0,0
Calamus_kandariensis,NA,1,1,0,NA
Calamus_karnatakensis,0.8,1,1,0,0
Calamus_karuensis,NA,1,1,0,NA
Calamus_keyensis,NA,1,1,0,NA
Calamus_kiahii,2.5,1,1,0,0
Calamus_kingianus,1,1,1,0,0
Calamus_kjellbergii,NA,1,1,0,NA
Calamus_klossii,NA,1,1,0,NA
Calamus_kontumensis,3.5,1,1,0,0
Calamus_koordersianus,NA,1,1,0,NA
Calamus_lacciferus,2,1,1,0,0
Calamus_laevigatus,1.2,1,1,0,0
Calamus_lakshmanae,1,1,1,0,0
Calamus_lambirensis,0.7,1,1,0,0
Calamus_laoensis,2,1,1,0,0
Calamus_lateralis,2,1,1,0,0
Calamus_latifolius,NA,1,1,0,NA
Calamus_latispinus,NA,1,1,0,NA
Calamus_lauterbachii,NA,1,1,0,NA
Calamus_laxissimus,NA,1,1,0,NA
Calamus_ledermannianus,NA,1,1,0,NA
Calamus_leiocaulis,NA,1,1,0,NA
Calamus_leloi,1.8,1,1,0,0
Calamus_leptospadix,1.5,1,1,0,0
Calamus_leptostachys,0.9,1,1,0,0
Calamus_lobbianus,3,1,1,0,0
Calamus_longipinna,0.77,1,1,1,0
Calamus_longisetus,3.5,1,1,0,0
Calamus_longispathus,2.8,1,1,0,0
Calamus_luridus,1,1,1,0,0
Calamus_macgregorii,NA,1,1,0,NA
Calamus_macrochlamys,1.1,1,1,0,0
Calamus_macrorhynchus,2.7,1,1,0,0
Calamus_macrosphaerion,2.5,1,1,0,0
Calamus_maiadum,NA,1,1,0,NA
Calamus_malawaliensis,0.75,1,1,0,0
Calamus_manan,2.8,1,1,0,0
Calamus_manillensis,1.9,1,1,0,0
Calamus_marginatus,1.6,1,1,0,0
Calamus_maritimus,NA,1,1,0,NA
Calamus_mattanensis,1.5,1,1,0,0
Calamus_maturbongsii,1.5,1,1,0,0
Calamus_mayrii,NA,1,1,0,NA
Calamus_megaphyllus,1.15,1,1,0,0
Calamus_meghalayensis,1,1,1,0,0
Calamus_melanacanthos,NA,1,1,0,NA
Calamus_melanochrous,2.4,1,1,0,0
Calamus_melanoloma,NA,1,1,0,NA
Calamus_melanorhynchus,1.3,1,1,0,0
Calamus_merrillii,1,1,1,0,0
Calamus_mesilauensis,2,1,1,0,0
Calamus_metzianus,1.7,1,1,0,0
Calamus_micranthus,0.9,1,1,0,0
Calamus_microcarpus,0.72,1,1,0,0
Calamus_microsphaerion,0.6,1,1,0,0
Calamus_minahassae,1.24,1,1,0,0
Calamus_mindorensis,0.77,1,1,0,0
Calamus_minor,NA,1,1,0,NA
Calamus_minutus,0.8,1,1,0,0
Calamus_mitis,1.5,1,1,0,0
Calamus_modestus,1.5,1,1,0,0
Calamus_mogeae,1.4,1,1,0,0
Calamus_moorhousei,NA,1,1,0,NA
Calamus_moseleyanus,NA,1,1,0,NA
Calamus_moszkowskianus,NA,1,1,0,NA
Calamus_moti,1.3,1,1,0,0
Calamus_muelleri,1.3,1,1,1,0
Calamus_multinervis,0.93,1,1,0,0
Calamus_multisetosus,NA,1,1,0,NA
Calamus_multispicatus,1,1,1,0,0
Calamus_muricatus,1,1,1,0,0
Calamus_myriacanthus,0.5,1,1,0,0
Calamus_myriocarpus,NA,1,1,0,NA
